lookback,z_short_rc,z_long_rc,z_short_ss,z_long_ss,pnl
4,0.12000000000000001,0.02,0.02,0.22,2268609.16
4,0.12000000000000001,0.02,0.12000000000000001,0.02,2272194.91
4,0.12000000000000001,0.02,0.12000000000000001,0.12000000000000001,2270792.69
4,0.12000000000000001,0.02,0.12000000000000001,0.22,2270803.29
4,0.12000000000000001,0.02,0.22,0.02,2272901.41
4,0.12000000000000001,0.02,0.22,0.12000000000000001,2271499.19
4,0.12000000000000001,0.02,0.22,0.22,2271509.79
4,0.12000000000000001,0.12000000000000001,0.02,0.02,2269666.60
4,0.12000000000000001,0.12000000000000001,0.02,0.12000000000000001,2268264.38
4,0.12000000000000001,0.12000000000000001,0.02,0.22,2268274.98
4,0.12000000000000001,0.12000000000000001,0.12000000000000001,0.02,2271620.41
4,0.12000000000000001,0.12000000000000001,0.12000000000000001,0.12000000000000001,2270218.19
4,0.12000000000000001,0.12000000000000001,0.12000000000000001,0.22,2270228.79
4,0.12000000000000001,0.12000000000000001,0.22,0.02,2271646.05
4,0.12000000000000001,0.12000000000000001,0.22,0.12000000000000001,2270243.83
4,0.12000000000000001,0.12000000000000001,0.22,0.22,2270254.43
4,0.12000000000000001,0.22,0.02,0.02,2269666.60
4,0.12000000000000001,0.22,0.02,0.12000000000000001,2268264.38
4,0.12000000000000001,0.22,0.02,0.22,2268274.98
4,0.12000000000000001,0.22,0.12000000000000001,0.02,2271620.41
4,0.12000000000000001,0.22,0.12000000000000001,0.12000000000000001,2270218.19
4,0.12000000000000001,0.22,0.12000000000000001,0.22,2270228.79
4,0.12000000000000001,0.22,0.22,0.02,2271986.29
4,0.12000000000000001,0.22,0.22,0.12000000000000001,2270584.07
4,0.12000000000000001,0.22,0.22,0.22,2270594.67
4,0.22,0.02,0.02,0.02,2270000.78
4,0.22,0.02,0.02,0.12000000000000001,2268598.56
4,0.22,0.02,0.02,0.22,2268609.16
4,0.22,0.02,0.12000000000000001,0.02,2272308.56
4,0.22,0.02,0.12000000000000001,0.12000000000000001,2270906.34
4,0.22,0.02,0.12000000000000001,0.22,2270916.94
4,0.22,0.02,0.22,0.02,2273015.06
4,0.22,0.02,0.22,0.12000000000000001,2271612.84
4,0.22,0.02,0.22,0.22,2271623.44
4,0.22,0.12000000000000001,0.02,0.02,2269666.60
4,0.22,0.12000000000000001,0.02,0.12000000000000001,2268264.38
4,0.22,0.12000000000000001,0.02,0.22,2268274.98
4,0.22,0.12000000000000001,0.12000000000000001,0.02,2271734.06
4,0.22,0.12000000000000001,0.12000000000000001,0.12000000000000001,2270331.84
4,0.22,0.12000000000000001,0.12000000000000001,0.22,2270342.44
4,0.22,0.12000000000000001,0.22,0.02,2271759.70
4,0.22,0.12000000000000001,0.22,0.12000000000000001,2270357.48
4,0.22,0.12000000000000001,0.22,0.22,2270368.08
4,0.22,0.22,0.02,0.02,2269666.60
4,0.22,0.22,0.02,0.12000000000000001,2268264.38
4,0.22,0.22,0.02,0.22,2268274.98
4,0.22,0.22,0.12000000000000001,0.02,2271734.06
4,0.22,0.22,0.12000000000000001,0.12000000000000001,2270331.84
4,0.22,0.22,0.12000000000000001,0.22,2270342.44
4,0.22,0.22,0.22,0.02,2272099.94
4,0.22,0.22,0.22,0.12000000000000001,2270697.72
4,0.22,0.22,0.22,0.22,2270708.32
5,0.02,0.02,0.02,0.12000000000000001,2278095.68
5,0.02,0.02,0.02,0.22,2278045.62
5,0.02,0.02,0.12000000000000001,0.02,2280157.48
5,0.02,0.02,0.12000000000000001,0.12000000000000001,2280157.48
5,0.02,0.02,0.12000000000000001,0.22,2280107.42
5,0.02,0.02,0.22,0.02,2279579.11
5,0.02,0.02,0.22,0.12000000000000001,2279579.11
5,0.02,0.02,0.22,0.22,2279529.05
5,0.02,0.12000000000000001,0.02,0.02,2279175.44
5,0.02,0.12000000000000001,0.02,0.12000000000000001,2279175.44
5,0.02,0.12000000000000001,0.02,0.22,2279458.20
5,0.02,0.12000000000000001,0.12000000000000001,0.02,2279965.41
5,0.02,0.12000000000000001,0.12000000000000001,0.12000000000000001,2279965.41
5,0.02,0.12000000000000001,0.12000000000000001,0.22,2280248.17
5,0.02,0.12000000000000001,0.22,0.02,2279387.04
5,0.02,0.12000000000000001,0.22,0.12000000000000001,2279387.04
5,0.02,0.12000000000000001,0.22,0.22,2279669.80
5,0.02,0.22,0.02,0.02,2280558.28
5,0.02,0.22,0.02,0.12000000000000001,2280558.28
5,0.02,0.22,0.02,0.22,2279537.92
5,0.02,0.22,0.12000000000000001,0.02,2281002.53
5,0.02,0.22,0.12000000000000001,0.12000000000000001,2281002.53
5,0.02,0.22,0.12000000000000001,0.22,2279982.17
5,0.02,0.22,0.22,0.02,2280424.16
5,0.02,0.22,0.22,0.12000000000000001,2280424.16
5,0.02,0.22,0.22,0.22,2279403.80
5,0.12000000000000001,0.02,0.02,0.02,2278095.68
5,0.12000000000000001,0.02,0.02,0.12000000000000001,2278095.68
5,0.12000000000000001,0.02,0.02,0.22,2278093.65
5,0.12000000000000001,0.02,0.12000000000000001,0.02,2280157.48
5,0.12000000000000001,0.02,0.12000000000000001,0.12000000000000001,2280157.48
5,0.12000000000000001,0.02,0.12000000000000001,0.22,2280155.45
5,0.12000000000000001,0.02,0.22,0.02,2279579.11
5,0.12000000000000001,0.02,0.22,0.12000000000000001,2279579.11
5,0.12000000000000001,0.02,0.22,0.22,2279577.08
5,0.12000000000000001,0.12000000000000001,0.02,0.02,2279175.44
5,0.12000000000000001,0.12000000000000001,0.02,0.12000000000000001,2279175.44
5,0.12000000000000001,0.12000000000000001,0.02,0.22,2279339.82
5,0.12000000000000001,0.12000000000000001,0.12000000000000001,0.02,2279965.41
5,0.12000000000000001,0.12000000000000001,0.12000000000000001,0.12000000000000001,2279965.41
5,0.12000000000000001,0.12000000000000001,0.12000000000000001,0.22,2280129.79
5,0.12000000000000001,0.12000000000000001,0.22,0.02,2279387.04
5,0.12000000000000001,0.12000000000000001,0.22,0.12000000000000001,2279387.04
